display_id,script,output,status,source_objects,manuscript_location
Fig1,figures/fig_cohort_flow.R,output/figures/fig_cohort_flow.png,provisional,thyr_cohort_flow.rds;thyr_analysis_cohorts.rds,Methods QC; Results 1
Fig2,figures/fig_gene_bm_evidence.R,output/figures/fig_gene_bm_evidence.png,provisional,thyr_expression_test.rds;thyr_se_raw.rds,Results 2
Fig3,figures/fig_reo_grading.R,output/figures/fig_reo_grading.png,provisional,thyr_reo_panel.rds;thyr_reo_evaluation.rds;thyr_se_raw.rds;thyr_case_assigned_share.rds,Results 6
FigS1,figures/fig_ma_gene_bm.R,output/figures/fig_ma_gene_bm.png,provisional,thyr_normalized_counts.rds;thyr_expression_test.rds;thyr_se_raw.rds,Results 2
FigS2,figures/fig_d6_calibration.R,output/figures/fig_d6_calibration.png,provisional,gsea_null_calibration.rds,Results 3; Supp Methods
Tab1,tables/tab_case_characteristics.R,output/tables/tab_case_characteristics.csv,provisional,thyr_analysis_cohorts.rds;thyr_clinical.rds,Methods; Results 1; Discussion
Tab2,(正本 = draft_manuscript.md Methods/Analysis contrasts の表+規則段落。投稿整形時に一方向切り出し — 編集可能な第2コピーは作らない),,provisional,批准済み文言(データ由来でない),Methods Analysis contrasts(解釈マップ)
TabS2,(未作成 — 310 ログ/N-15 から作表),,pending,310_normalize_counts.log,Methods Normalization
TabS4,(未作成 — thyr_reo_panel.rds/N-39 から作表),,pending,thyr_reo_panel.rds,Methods REO; Results 6
Tab3,tables/tab_gene_level_summary.R,output/tables/tab_gene_level_summary.csv,provisional,thyr_expression_test.rds,Results 2
TabS1,tables/tab_cohort_composition.R,,provisional,thyr_clinical.rds;thyr_case_assigned_share.rds;thyr_se_raw.rds,Methods Exposure metric; Results 1
TabS5,tables/supp_tab_package_versions.R,output/tables/,provisional,docker/versions.tsv,Methods Software
TabS6-S7,tables/tab_set_level_summary.R,output/tables/,provisional,thyr_enrichment_test.rds;gsea_null_calibration.rds,Results 3
TabS8,tables/supp_tab_concordance.R,output/tables/,provisional,signature_agreement.rds,Results 5; Discussion
Data1,tables/supp_data_420_full.R,output/tables/,provisional,thyr_enrichment_test.rds,Results 3
